img_url,name,price,category_id
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/0c6cf9ff-88d5-4837-afda-964e7622331a.png,TRAWA MORSKA (150 GR),15,112
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/52d7e0c1-11ad-4054-8486-cabae36e2065.jpg,PIEROŻKI GYOZA (6 SZT),15,112
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/0814567a-e492-4811-bbba-fc584202dfd5.jpg,KREWETKI TEMPURA (5 SZT),20,112
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/3bae5ba1-80d8-4095-a40f-8bd673af7005.jpg,"FUTO Z ŁOSOSIEM, HOSO Z OGÓRKIEM, HOSO Z ŁOSOSIEM",50,113
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/eb9afa80-57a3-4ea2-94b8-e137fbdf11df.jpg,"FUTO MIX WARZYW TEMPURA, HOSO Z AWOKADO, HOSO Z RZEPA",40,114
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/62db9e7b-917f-4dcd-b529-3eb8a14e8bde.jpg,"FUTO Z ŁOSOSIEM GRILL, FUTO Z MAŚLANA GRILL, CALIFORNIA KREWETKA TEMPURA",70,115
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/08474dca-b2d3-4fbf-a426-821c4bf652e1.jpg,"CALIFORNIA MIX, KREWETKA TEMPURA TOP MANGO, KREWETKA TEMPURA TOP TATAR ŁOSOŚ, MAŚLANA GRILL TOP AWOKADO",90,116
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/f064014d-1a23-4828-9f3f-cc430877fb8d.jpg,"FUTO Z ŁOSOSIEM GRILL, FUTO Z MAŚLANA GRILL, CALIFORNIA KREWETKA TEMPURA",100,117
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/5a45c9df-fee5-4b58-9e40-666211db0f7e.jpg,"HOSOMAKI MIX: TUŃCZUK, ŁOSOS, AWOKADO KREWETKA TEMPURA, SURIMI, OGÓREK KANPYO, RZEPA MARYNOWANA",90,118
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/38be8cb3-3459-439f-ad5c-7c0778c11f5b.jpg,"FUTO TATARZ ŁOSOSIA, FUTO TUŃCZYK TEMPURA, CALIFORNIA KREWETKA TEMPURA TOP MANGO, CALIFORNIA ŁOSOS GRILL, HOSO TUŃCZYK, HOSO KREWETKA TEMPURA",140,119
https://uynifowofjnslqwwfbau.supabase.co/storage/v1/object/public/menu-images/c90f9726-f64c-4f6d-b22c-553cd6d90484.jpg,"FUTO TATARZ ŁOSOSIA, FUTO TUŃCZYK, CALIFORNIA KREWETKA TEMPURA TOP MANGO, CALIFORNIA ŁOSOS, HOSO TUŃCZYK, HOSO OGÓREK",140,119
